job_title,company,location,link
Junior Software Engineer,Supa (YC S22),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/junior-software-engineer-at-supa-yc-s22-4299002645?position=9&pageNum=0&refId=YAUtQhVdBZdaHoHjh%2FVSQw%3D%3D&trackingId=vztvaq%2BV7uXHYuOFdpocKQ%3D%3D
Frontend Developer - Contract-based,PT Astra International Tbk,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/frontend-developer-contract-based-at-pt-astra-international-tbk-4247535215?position=10&pageNum=0&refId=YAUtQhVdBZdaHoHjh%2FVSQw%3D%3D&trackingId=C6TB5PR9DbTApmMgvXgHjw%3D%3D
Web Platform Engineer - Junior or Senior Consultant,EY,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/web-platform-engineer-junior-or-senior-consultant-at-ey-4074575086?position=1&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=IvnYCZ%2FUb0r7H5X9Cq1meQ%3D%3D
Frontend Web Developer,PT IKONSULTAN INOVATAMA,"Gambir, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/frontend-web-developer-at-pt-ikonsultan-inovatama-4182730729?position=2&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=bsJHt3XvWQPTZX%2Bg%2B1P4eA%3D%3D
Full Stack Engineer,PT. Indosat Tbk,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/full-stack-engineer-at-pt-indosat-tbk-4295135516?position=3&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=I4doHWSRHaAJq7U7J0ZImQ%3D%3D
Frontend Programmer,Halojasa Indonesia,"Gambir, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/frontend-programmer-at-halojasa-indonesia-4296532302?position=4&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=2gSPugcU%2FaDXM8%2Byup7YfQ%3D%3D
Front-End Engineer,PT ITSEC Asia Tbk,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/front-end-engineer-at-pt-itsec-asia-tbk-4285730583?position=5&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=AErVy5rNmiRF5oom7Vbtvw%3D%3D
Freelance KOL Specialist (Hybrid Working Mode),Female Daily Network,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/freelance-kol-specialist-hybrid-working-mode-at-female-daily-network-4283543034?position=6&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=4Egr4g%2BxYAB9kbVuzRnbag%3D%3D
Front-End Web Developer,PT. Intikom Berlian Mustika,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/front-end-web-developer-at-pt-intikom-berlian-mustika-4295200448?position=7&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=nJS1qWLGY14NYpOUyW3F4A%3D%3D
Data Scientist,PT. Sigma Cipta Caraka (Telkomsigma),"Kota Tangerang Selatan, Banten, Indonesia",https://id.linkedin.com/jobs/view/data-scientist-at-pt-sigma-cipta-caraka-telkomsigma-4251607223?position=8&pageNum=2&refId=02JuhaLcrpXEzAmfoLW%2Fyw%3D%3D&trackingId=haZDZOwbU2RjVSmuvPbmJw%3D%3D
